"Geregistreerde criminaliteit; soort misdrijf, regio"
"Regio's: Nederland"
"Onderwerp: |Totaal geregistreerde misdrijven"
"";"Perioden"
"";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022*";"2023*"
"Soort misdrijf";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Misdrijven, totaal";"1200825";"1206565";"1154950";"1105565";"1025630";"978945";"930325";"832950";"786420";"821905";"813150";"758065";"809390";"807375"
"1 Vermogensmisdrijven";"715555";"723155";"704250";"690610";"631450";"614050";"576445";"502510";"457825";"473705";"471585";"419690";"448305";"460235"
"11 Diefstal/verduistering en inbraak";"670470";"677970";"656450";"650650";"592590";"549105";"498285";"428135";"380320";"374790";"330095";"287095";"349120";"363945"
"111 Diefstal en inbraak met geweld";"16290";"15590";"14945";"13350";"10455";"9730";"8990";"7985";"7785";"8595";"7305";"5545";"5965";"6005"
"112 Diefstal en inbraak zonder geweld";"654180";"662380";"641505";"637300";"582135";"539370";"489295";"420155";"372535";"366195";"322795";"281545";"343155";"357940"
"12 Bedrog";"27845";"25590";"27630";"21965";"19735";"37410";"45150";"39405";"41425";"53005";"60375";"52930";"43110";"48225"
"121 Oplichting";"27010";"24845";"26845";"21240";"19015";"35530";"42235";"37000";"39340";"51045";"58460";"51145";"41575";"46045"
"123 Bedrog (overig)";"310";"255";"250";"215";"240";"1690";"2915";"2400";"2080";"1955";"1915";"1780";"1530";"2175"
"13 Valsheidsmisdrijven";"9845";"11715";"12050";"9575";"9850";"18415";"24710";"27380";"27725";"36225";"70665";"69370";"45775";"37445"
"131 Muntmisdrijf";"1205";"965";"1130";"1425";"1915";"2430";"1980";"1600";"1445";"1540";"1130";"720";"400";"310"
"132 Valsheid in zegels en merken";"175";"180";"215";"190";"205";"250";"250";"195";"185";"170";"200";"240";"180";"155"
"133 Valsheid in geschriften";"8465";"10565";"10705";"7960";"7730";"15730";"22480";"25580";"26095";"34515";"69335";"68410";"45195";"36980"
"14 Heling";"5965";"6250";"6335";"6305";"6940";"6735";"5845";"5255";"5570";"6410";"6130";"5545";"6600";"6850"
"15 Afpersing en afdreiging";"1010";"1035";"1100";"1370";"1515";"1635";"1665";"1520";"1765";"1785";"2260";"2215";"2110";"2265"
"16 Bankbreuk";"85";"140";"190";"115";"170";"180";"180";"115";"110";"110";"110";"65";"50";"45"
"17 Witwassen";"335";"455";"495";"640";"655";"570";"610";"695";"900";"1380";"1945";"2475";"1535";"1460"
"2 Vernielingen,misdropenborde/gezag";"185955";"182190";"162415";"141135";"135400";"122835";"115525";"102085";"93450";"102400";"109040";"106370";"105910";"103395"
"21 Vernieling en beschadiging";"151155";"148570";"133515";"117920";"109995";"101845";"94525";"81535";"72110";"76960";"78340";"71690";"70810";"69880"
"211 Vernieling aan auto";"69950";"67740";"60440";"54615";"50215";"47705";"43910";"37760";"32790";"34420";"32610";"28965";"28545";"28230"
"212 Vernieling aan openbaar gebouw";"11790";"8255";"2285";"2015";"1775";"1455";"1365";"1135";"920";"885";"940";"795";"740";"860"
"213 Vernieling middel openb vervoer";"2000";"2305";"2095";"1040";"925";"815";"1100";"1380";"850";"865";"1010";"810";"820";"560"
"215 Vernieling, beschadiging (overig)";"67415";"70265";"68690";"60255";"57080";"51870";"48145";"41260";"37555";"40790";"43780";"41120";"40705";"40225"
"22 Openbare orde misdrijf";"21620";"20880";"17695";"13500";"15645";"11675";"11245";"11165";"11540";"14110";"19415";"23430";"24035";"22160"
"221 Openlijke geweldpleging";"9150";"8270";"7150";"5900";"5350";"4845";"4490";"4465";"4205";"4495";"3595";"4250";"4610";"4480"
"2211 Openlijk geweld tegen persoon";"7095";"6500";"5625";"4790";"4315";"3955";"3735";"3820";"3660";"3820";"2970";"3390";"4085";"4055"
"2212 Openlijke geweld tegen goed";"2060";"1770";"1525";"1110";"1035";"890";"750";"645";"550";"680";"630";"860";"520";"425"
"222 Huisvredebreuk";"2490";"2605";"2635";"2605";"2675";"2330";"2535";"2340";"2565";"2915";"2885";"2740";"3280";"3470"
"223 Lokaalvredebreuk";"670";"535";"430";"405";"430";"425";"430";"365";"325";"325";"260";"245";"345";"415"
"224 Computervredebreuk";"1070";"2025";"4620";"2535";"2045";"2225";"1875";"2320";"2945";"4865";"11270";"14645";"14165";"12180"
"225 Discriminatie";"440";"340";"305";"330";"3465";"450";"565";"405";"415";"495";"520";"555";"410";"510"
"226 Openbare orde misdrijf (overig)";"7795";"7105";"2550";"1715";"1685";"1400";"1350";"1270";"1085";"1020";"880";"1000";"1230";"1100"
"23 Brandstichting / ontploffing";"7115";"6995";"6120";"5330";"5045";"4900";"4800";"4700";"4635";"4770";"5095";"4150";"4245";"4115"
"24 Openbaar gezag misdrijf";"6065";"5745";"5085";"4385";"4715";"4415";"4955";"4685";"5160";"6565";"6185";"7100";"6820";"7240"
"241 Niet opvolgen van ambtelijk bevel";"3905";"3610";"3090";"2495";"2785";"2400";"2965";"2895";"2905";"3370";"2900";"3375";"3065";"3555"
"242 Wederspannigheid";"1155";"1090";"1120";"1005";"980";"850";"890";"780";"1330";"2015";"1965";"2155";"2355";"2275"
"243 Valse aangifte";"470";"515";"490";"515";"525";"465";"450";"390";"345";"415";"350";"335";"270";"200"
"245 Verblijf ongewenste vreemdeling";"255";"255";"150";"155";"175";"470";"370";"310";"190";"100";"70";"185";"190";"160"
"246 Openbaar gezag misdrijf (overig)";"280";"275";"235";"220";"245";"230";"280";"310";"395";"660";"900";"1045";"940";"1055"
"3 Gewelds- en seksuele misdrijven";"115815";"114055";"110470";"103510";"98545";"92475";"90200";"85335";"83325";"83960";"80235";"76360";"80570";"75735"
"31 Mishandeling";"61445";"60455";"57585";"53445";"50905";"48280";"46990";"44760";"43020";"42615";"38295";"36390";"40965";"39600"
"32 Bedreiging en stalking";"38075";"37725";"37335";"35770";"33920";"31120";"29690";"27040";"26070";"27445";"28785";"26000";"24425";"22260"
"321 Bedreiging";"34350";"34135";"33740";"32315";"30605";"28115";"26760";"24220";"23100";"23410";"24390";"22360";"21235";"19395"
"322 Stalking";"3725";"3595";"3595";"3455";"3315";"3005";"2930";"2820";"2970";"4035";"4400";"3640";"3190";"2865"
"33 Seksueel misdrijf";"9720";"9130";"9055";"8550";"8190";"7730";"8235";"8425";"9120";"8335";"8090";"8785";"10105";"9110"
"331 Aanranding";"2495";"2190";"2075";"1950";"1820";"1720";"2220";"2210";"2385";"2250";"1955";"2270";"2995";"2560"
"332 Verkrachting";"1645";"1570";"1450";"1245";"1220";"1265";"1535";"1760";"1940";"2055";"2065";"2405";"2905";"2415"
"333 Schennis der eerbaarheid";"2015";"1940";"1875";"1700";"1590";"1445";"1380";"1275";"1300";"1070";"1235";"1095";"1015";"965"
"334 Ontucht met minderjarige";"1055";"850";"1085";"1025";"1045";"875";"860";"875";"930";"1015";"910";"970";"1045";"785"
"335 Pornografie";"575";"570";"635";"785";"690";"660";"445";"425";"390";"540";"410";"460";"515";"550"
"336 Ontucht met misbruik van gezag";"575";"560";"580";"615";"565";"565";"530";"550";"685";"705";"770";"830";"810";"680"
"337 Seksueel misdrijf (overig)";"1360";"1450";"1360";"1230";"1255";"1195";"1265";"1325";"1495";"695";"750";"755";"820";"1155"
