n"ID";"SoortMisdrijf";"RegioS";"Perioden";"TotaalGeregistreerdeMisdrijven_1";"GeregistreerdeMisdrijvenRelatief_2";"GeregistreerdeMisdrijvenPer1000Inw_3";"TotaalOpgehelderdeMisdrijven_4";"OpgehelderdeMisdrijvenRelatief_5";"RegistratiesVanVerdachten_6"
"2562";"T001161";"GM0917";"2010JJ00";"    9570";"     100";"   107.3";"    2895";"    30.3";"    3550"
"2575";"T001161";"GM0917";"2023JJ00";"    6225";"     100";"    71.5";"    2070";"    33.3";"    2755"
"9478";"CRI1000";"GM0917";"2010JJ00";"    5220";"      55";"    58.5";"     950";"    18.2";"    1225"
"9491";"CRI1000";"GM0917";"2023JJ00";"    2955";"      47";"    33.9";"     635";"    21.4";"     915"
"16394";"CRI1100";"GM0917";"2010JJ00";"    4880";"      51";"    54.7";"     775";"    15.9";"    1005"
"16407";"CRI1100";"GM0917";"2023JJ00";"    2200";"      35";"    25.2";"     450";"    20.6";"     545"
"23310";"CRI1110";"GM0917";"2010JJ00";"      75";"       1";"       .";"      30";"    37.3";"      45"
"23323";"CRI1110";"GM0917";"2023JJ00";"      45";"       1";"       .";"      20";"    44.7";"      30"
"30226";"CRI1120";"GM0917";"2010JJ00";"    4805";"      50";"    53.8";"     745";"    15.6";"     960"
"30239";"CRI1120";"GM0917";"2023JJ00";"    2150";"      35";"    24.7";"     430";"    20.0";"     510"
"37142";"CRI1200";"GM0917";"2010JJ00";"     235";"       2";"     2.6";"      95";"    40.8";"     115"
"37155";"CRI1200";"GM0917";"2023JJ00";"     385";"       6";"     4.4";"      75";"    19.0";"     190"
"44058";"CRI1210";"GM0917";"2010JJ00";"     235";"       2";"     2.6";"      95";"    40.8";"     115"
"44071";"CRI1210";"GM0917";"2023JJ00";"     375";"       6";"     4.3";"      70";"    19.2";"     185"
"50974";"CRI1220";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"50987";"CRI1220";"GM0917";"2023JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"57890";"CRI1230";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"57903";"CRI1230";"GM0917";"2023JJ00";"      10";"       0";"       .";"       0";"     0.0";"       5"
"64806";"CRI1300";"GM0917";"2010JJ00";"      45";"       0";"       .";"      20";"    42.2";"      20"
"64819";"CRI1300";"GM0917";"2023JJ00";"     265";"       4";"     3.0";"      40";"    14.8";"      65"
"71722";"CRI1310";"GM0917";"2010JJ00";"       5";"       0";"       .";"       0";"     0.0";"       0"
"71735";"CRI1310";"GM0917";"2023JJ00";"       5";"       0";"       .";"       5";"    83.3";"       5"
"78638";"CRI1320";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"78651";"CRI1320";"GM0917";"2023JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"85554";"CRI1330";"GM0917";"2010JJ00";"      40";"       0";"       .";"      15";"    43.6";"      20"
"85567";"CRI1330";"GM0917";"2023JJ00";"     260";"       4";"     3.0";"      35";"    13.2";"      60"
"92470";"CRI1400";"GM0917";"2010JJ00";"      55";"       1";"       .";"      50";"    96.2";"      75"
"92483";"CRI1400";"GM0917";"2023JJ00";"      75";"       1";"       .";"      55";"    78.1";"      95"
"99386";"CRI1500";"GM0917";"2010JJ00";"       5";"       0";"       .";"       0";"     0.0";"       5"
"99399";"CRI1500";"GM0917";"2023JJ00";"      15";"       0";"       .";"       0";"     0.0";"       0"
"106302";"CRI1600";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"106315";"CRI1600";"GM0917";"2023JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"113218";"CRI1700";"GM0917";"2010JJ00";"       5";"       0";"       .";"       5";"   100.0";"       5"
"113231";"CRI1700";"GM0917";"2023JJ00";"      20";"       0";"       .";"      10";"    60.0";"      25"
"120134";"CRI1800";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"120147";"CRI1800";"GM0917";"2023JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"127050";"CRI2000";"GM0917";"2010JJ00";"    1660";"      17";"    18.6";"     440";"    26.6";"     600"
"127063";"CRI2000";"GM0917";"2023JJ00";"     875";"      14";"    10.1";"     270";"    30.6";"     330"
